Date,FeO_Before_Mixer
5/22/2019,21.56
5/22/2019,20.3
5/23/2019,20.16
5/23/2019,19.54
5/23/2019,19.9
5/24/2019,18.86
5/24/2019,18.54
5/24/2019,19.2
5/25/2019,22.12
5/25/2019,20.63
5/25/2019,20.63
5/26/2019,20.26
5/26/2019,19.26
5/28/2019,20.84
5/28/2019,21.12
5/28/2019,21.74
5/29/2019,19.83
5/29/2019,22.27
5/29/2019,21.16
5/30/2019,21.41
5/30/2019,21.84
5/30/2019,22.27
5/31/2019,22.31
5/31/2019,21.7
5/31/2019,22.25
6/1/2019,21.59
6/1/2019,21.56
6/1/2019,21.27
6/2/2019,21.7
6/2/2019,21.66
6/2/2019,21.41
6/3/2019,21.74
6/3/2019,22.03
6/3/2019,21.41
6/4/2019,20.98
6/4/2019,21.45
6/4/2019,20.98
6/5/2019,20.98
6/5/2019,20.98
6/5/2019,20.88
6/6/2019,20.71
6/6/2019,20.55
6/6/2019,21.05
6/7/2019,20.69
6/7/2019,21.41
6/7/2019,20.7
6/8/2019,21.63
6/8/2019,21.85
6/8/2019,21.09
6/9/2019,21.06
6/9/2019,21.56
6/9/2019,20.99
6/10/2019,22.3
6/10/2019,21.56
6/10/2019,22.13
6/11/2019,22.1
6/13/2019,21.14
6/13/2019,21.81
6/13/2019,20.35
6/14/2019,20.78
6/15/2019,20.92
6/16/2019,20.92
6/16/2019,20.85
6/16/2019,20.5
6/17/2019,20.63
6/17/2019,19.86
6/17/2019,21.28
6/18/2019,20.07
6/18/2019,20.57
6/18/2019,20.14
6/19/2019,22.05
6/19/2019,20.78
6/19/2019,21.28
