Date,Gas_Consumption(Nm3),Online_hours,Grate_Feed(ton),Grate_Speed(rpm),Depth(mm),EP1_Temp(deg),EP2_Temp(deg),Grate_Zoon3_Temp(deg),Grate_Zoon4_Temp(deg),Amb_Temp(deg),KL1_Speed(rpm),AN1_Speed(rpm),730FN1_Damper,730FN1_Amp,AN1_Zoon3_Temp(deg)
4/20/2019,209396,23.96666667,13276.64,5.955951337,127.8950503,103.5199227,97.37561051,857.7918028,910.678398,24.19026541,1.720816936,1.71155808,32.88333333,180.0350976,201.4011918
4/21/2019,199540,24,13148.7,5.971356333,130.5494568,110.6160291,99.46586128,851.4470393,883.8883386,23.09830652,1.720417525,1.725394223,32.64236111,180.3832226,194.910205
4/22/2019,197872,24,12980.1,5.935503512,130.8429399,113.7745574,103.0161012,849.8028925,891.4548778,22.15632356,1.720373393,1.692252038,32.48402778,180.413118,184.3699031
4/23/2019,201212,24,12560.48,5.598029695,135.0843876,112.1327537,98.93443423,823.3552938,900.8203891,21.67121101,1.719209121,1.652071618,31.37361111,176.8736361,187.2416564
4/24/2019,208724,24,13287.91,5.936518491,140.6513512,111.5533658,95.46835028,851.1421755,926.4544924,17.10387604,1.740082733,1.726112896,32.96180556,184.0800397,153.5836183
4/25/2019,198544,24,12772.16,5.896229417,136.9601819,113.44962,100.1785531,843.7133727,894.1566127,16.3502808,1.740233183,1.66555503,32.27777778,184.671263,156.5300984
4/26/2019,207840,23.95,12805.53,5.871857219,137.5713265,104.7169835,97.61516726,841.3322263,921.4334733,19.62196751,1.740104818,1.655011412,32.72847222,185.0576542,159.1030187
4/27/2019,215768,24,13045.21,5.899050944,140.3245249,109.3369259,97.62444072,859.2526766,925.1901213,20.10819125,1.740008915,1.702158063,32.96666667,184.7329765,168.5406123
4/28/2019,211256,24,13087.62,5.860122246,139.0923276,105.1024868,99.38001321,847.2152528,906.9422207,22.33622258,1.74004197,1.718685188,33.04791667,183.2959033,170.8247929
4/29/2019,200304,24,13029.89,5.841397369,136.8379339,120.4654097,101.7378977,844.0769188,895.4552524,20.90767321,1.727726899,1.725443279,33.49791667,184.4381438,166.1881904
4/30/2019,197892,24,12377.88,5.558495147,137.0961087,118.8285842,103.8572298,801.3111566,885.5316729,24.33020024,1.695556865,1.613972151,32.05069444,180.8375097,164.4649119
5/1/2019,194684,24,12600.77,5.846559624,132.3466542,121.2355515,103.1566054,827.0823231,878.585021,23.06176085,1.699979366,1.671101443,33.27916667,183.3194659,160.1423595
5/2/2019,182616,24,12705.83,5.85520861,133.9333155,114.0918435,98.88524278,793.1334412,851.4226138,23.46347432,1.700028776,1.691129984,33.1875,182.2390891,164.0757325
5/3/2019,179300,23.9,12471.88,5.666540138,132.945408,115.9893442,100.7742462,778.7025512,862.1907006,24.28322648,1.700028811,1.61855381,32.56388889,180.0185673,182.9866779
5/4/2019,186300,24,12775.66,5.849067574,131.7578046,112.2898548,100.6899972,799.5608714,887.7869142,26.05225671,1.700993741,1.649336645,32.71111111,179.6991137,180.4871074
5/5/2019,181056,24,12545.74,5.815562676,129.9185689,111.9087451,99.90498716,778.0022879,877.0219439,25.00739589,1.717988427,1.642035999,33.13611111,180.4348458,177.5058756
5/6/2019,174592,24,10817.52,5.191708323,121.8278403,125.2027226,103.6694768,712.6500712,851.3485562,26.95100483,1.660270337,1.447000187,29.20694444,170.4348492,147.5498356
5/7/2019,185676,23.61666667,12114.67,5.490737525,137.4136535,117.1483751,105.0249455,798.5532036,878.8964687,26.27938793,1.699988567,1.613628901,32.60416667,179.7195918,186.7673601
5/8/2019,175264,23.23333333,11764.26,5.31669515,139.4259999,115.9015921,104.1005346,770.3614992,863.0085044,28.11428042,1.70013235,1.592156705,31.95555556,177.5742754,161.7659299
5/9/2019,178080,23.5,12107.3,5.502478721,137.4613595,117.5333539,101.7960728,775.6906744,876.6983595,27.68540699,1.699983533,1.630510199,33.20763889,180.049813,172.7333733
5/10/2019,177312,24,12691.75,5.75872066,138.47134,113.5731355,99.00545859,798.6084788,873.8651385,28.38943357,1.699882769,1.719123624,33.2625,179.8067814,190.9756395
5/11/2019,178524,24,12432.42,5.758205612,135.9913988,113.3559137,99.5684653,785.6804126,868.2235228,24.50967988,1.69380162,1.680025088,32.69861111,178.7754729,178.410471
5/12/2019,174424,23.95,12103.18,5.681777558,130.3079247,123.6593424,101.696307,774.1401658,865.5173509,27.62327345,1.698423775,1.646642039,32.25069444,176.9814767,178.2471516
5/13/2019,170580,24,11159.89,5.43156709,129.5844907,121.5818805,104.0390694,732.2952741,852.9695067,29.3281359,1.680002908,1.516151115,32.09583333,176.5245674,149.4554967
5/14/2019,180300,24,12239.41,5.78496169,132.5728284,114.1289009,101.2362478,792.3231343,882.0736866,25.74010043,1.693759956,1.641915739,33.58402778,181.4103936,167.5731482
5/15/2019,175360,24,12137.05,5.62132073,136.8930978,109.7024969,100.2514467,782.1187784,873.8244764,27.73881831,1.699948532,1.642040021,32.82152778,179.3434925,167.2453758
5/16/2019,173720,24,11813.38,5.555530664,134.5007132,120.1893807,102.6149389,756.7858135,848.8018048,27.26583082,1.699946447,1.608144999,32.53958333,178.0069496,142.8110454
5/17/2019,173280,24,11936.7,5.534511736,136.9616202,118.1452853,101.2566855,751.1023631,833.0334231,27.04810865,1.699901726,1.635938538,33.15625,179.7745088,159.655851
5/18/2019,177680,24,11860.81,5.632447438,132.4063682,114.7220571,99.92245889,742.460988,829.551033,26.16963748,1.689824714,1.619955259,32.60902778,179.017709,143.8047152
5/19/2019,179856,24,12102.7,5.6470232,133.3627384,111.5048514,99.23815851,765.3162676,864.7438923,25.70156682,1.67982829,1.612158433,33.09791667,179.9166307,163.784582
5/20/2019,191304,23.98333333,12515.38,5.659675407,138.2647343,103.2638445,96.92599066,788.5358333,870.4167226,27.25838345,1.694241135,1.666498682,33.06076389,179.2013296,196.3619526
5/21/2019,196920,24,12756.15,5.860918575,139.0750263,106.3163896,96.75076611,800.4801878,889.5348088,24.52946407,1.700241797,1.716699972,33.91736111,182.8281754,182.9220656
5/22/2019,192904,23.66666667,12302.71,5.770037366,135.9760661,104.3813994,94.5868844,765.2962406,878.004789,22.13449904,1.700372628,1.656931782,34.01111111,183.4490194,157.4566866
5/23/2019,192976,24,12778.93,5.754822728,142.4779469,110.5679506,94.79420044,783.7865127,885.0269948,19.75884072,1.700243809,1.698281871,33.93819444,183.9102023,153.8390746
5/24/2019,187944,24,12512.4,5.782323706,137.810433,107.012678,98.37976877,769.94203,864.5863718,24.24482148,1.700252489,1.682777194,33.44027778,181.4712672,142.3371627
5/25/2019,191144,24,12597.87,5.819002101,135.232949,111.0768834,99.51893078,768.9739193,861.9466455,27.06457355,1.70017631,1.699244687,33.62569444,180.3965624,166.7734585
5/26/2019,189184,24,12272.12,5.828206719,133.0883638,118.7528007,100.9802366,765.6554509,859.0992895,28.99603725,1.686909853,1.662054409,34.07222222,181.7637473,165.7227796
5/27/2019,159868,9.5,4291.7,1.948328454,112.3106367,124.8264958,90.03486383,466.2839701,751.7482278,30.6724468,1.476023885,0.604634178,17.71597222,139.2994511,106.8269553
5/28/2019,166332,11.65,5032.78,2.313615002,132.7535419,83.05262775,68.09879265,366.5897993,604.3791446,28.31533726,1.218295177,0.740700909,16.18194444,124.3504835,91.54901335
5/29/2019,199892,24,13122.4,5.795843533,136.5868404,109.1127995,99.28423753,809.1817472,892.6781257,27.97011646,1.700570999,1.685790919,34.27986111,180.9339056,218.4861885
5/30/2019,191564,24,13085.75,5.853182555,135.553879,115.0890874,101.5762666,804.3852016,901.0573961,28.10551573,1.700113774,1.698922292,34.82986111,182.3919236,214.9906963
5/31/2019,192196,24,13062.85,5.825190064,137.7507498,111.8558694,101.2351638,804.2290126,902.6962053,27.73622877,1.699846276,1.685183865,34.96041667,183.9589336,171.4468203
6/1/2019,194956,24,12977.57,5.758782687,139.9104669,112.188271,99.96215453,795.5360624,912.5513653,26.41120632,1.699701622,1.664358795,34.80277778,184.6356871,151.5124392
6/2/2019,196512,24,12943.93,5.861748174,137.2836808,112.0821257,101.4452013,790.576816,906.0207795,26.84695225,1.699798636,1.66317964,35.12222222,184.9940417,187.4347994
6/3/2019,190668,24,13077.46,5.82989188,137.1924048,109.9185805,99.34041942,778.8295687,879.3401141,27.29130916,1.699807629,1.69849225,34.92777778,184.6017338,182.8504489
6/4/2019,185996,24,12968.44,5.804589894,135.7764744,106.7088612,99.7032884,774.6425963,869.4571999,28.62205758,1.699833844,1.703720687,34.53055556,183.9469546,180.6586228
6/5/2019,186248,23.95,12688.67,5.798928683,131.5370664,113.1530673,100.5074169,751.3524705,849.9328085,29.66277533,1.699838706,1.666967255,34.66597222,183.3798557,194.602619
6/6/2019,186656,24,13132.84,5.774639111,136.1790221,108.1453773,99.38522698,760.4101744,843.0516222,31.15497391,1.699833602,1.702495356,37.23611111,187.0889028,215.4704811
6/7/2019,184188,24,13021.2,5.820489589,134.521276,106.6097412,100.3229384,758.1979595,839.6214522,32.57433533,1.699908324,1.663030435,37.31041667,186.6153745,228.763818
6/8/2019,181792,23.81666667,12623.24,5.675419098,135.2908529,113.6537475,103.7914123,749.9216192,818.4881865,33.2151618,1.69987572,1.627906162,36.69375,185.5385132,205.6828785
6/9/2019,179672,24,12851.3,5.758664714,136.4386702,111.910541,102.8919819,774.4688718,815.1205763,34.95600637,1.699789019,1.668860812,37.74201389,187.1799242,218.2391406
6/10/2019,180124,24,12924.25,5.889792953,135.6702507,112.105567,100.721876,776.0138978,813.6677833,33.2363523,1.700032491,1.694239884,37.88055556,188.2667034,192.5945317
6/11/2019,182456,24,12380.23,5.767926242,133.554627,112.4756461,101.4500838,755.068348,819.9553845,31.24721002,1.700253601,1.603773867,35.67152778,184.8219969,190.2213934
6/12/2019,107280,0.083333333,9.37E+00,8.39E-03,222.9495792,62.90944419,47.02105744,312.5393427,318.6053145,32.87817113,0.949256364,0.114833467,2.490972222,101.9216443,52.2313351
6/13/2019,144696,7.316666667,2551.06,1.174585284,195.3590742,62.47742316,51.81009193,217.0997945,393.3032091,33.40349151,0.971994107,0.373792211,9.128472222,117.305483,57.67560055
6/14/2019,165728,15.51666667,8041.35,3.65385376,100.9733532,121.3466406,110.1979766,613.5138104,703.1386013,34.1869227,1.582441972,1.223945367,26.29722222,157.9670056,145.5819464
6/15/2019,163660,7.35,2716.66,1.247634113,133.3365813,109.1107106,92.61848628,346.1189565,601.8703417,33.64664855,1.337902846,0.496382633,13.06111111,124.2729842,64.27759123
6/16/2019,181088,15.26666667,6459.56,2.949094401,119.6707111,99.39697621,81.70881338,439.836169,658.2811846,32.33115947,1.379890415,0.856002699,22.86597222,150.3434333,95.8155364
6/17/2019,186292,24,12718.8,5.754607868,125.5127102,120.4299101,103.9636901,754.0455365,825.9217291,32.47144665,1.700001241,1.634473879,37.875,187.4436124,176.0385673
6/18/2019,181364,24,12729.04,5.757961131,130.3376512,116.7438233,103.570163,759.9497084,832.0831576,34.54751752,1.699972526,1.661656791,37.71597222,185.9794515,197.862354
6/19/2019,178052,22.15,10981.09,4.973259937,132.5627118,122.0366027,104.5837213,686.3192564,807.102231,34.06782139,1.700041171,1.455084455,33.64166667,176.3871753,164.6557607
6/20/2019,176764,24,12795.71,5.737783749,134.466056,117.958238,104.3502203,768.1508229,837.2383912,34.28212498,1.699893914,1.655945529,37.75694444,185.7790173,180.73398
6/21/2019,177760,23.86666667,12466.19,5.711347728,131.3092768,121.7505088,106.3059849,758.6416424,828.6357179,33.57380594,1.699943532,1.627648015,37.45486111,184.8802825,175.7200456
6/22/2019,162800,14.33333333,6731.88,2.963960961,174.5290843,120.9409922,101.6751101,574.626701,746.6303791,36.93036178,1.352323437,0.867278349,21.42222222,145.5227419,144.7587909
6/23/2019,184628,22.88333333,11664.13,5.296262078,131.6413094,123.2885449,104.988801,715.8115507,846.8293965,34.24027284,1.699871553,1.477676568,35.38611111,180.4681413,162.3051985
6/24/2019,178424,24,12647.74,5.71851263,135.0501999,117.7029706,103.731985,749.9356059,838.0074763,35.30143244,1.699993116,1.648004065,37.87638889,185.981848,171.0870943
6/25/2019,177952,23.9,12453.3,5.621085148,134.5130559,118.4754267,105.296661,756.1338967,837.1484156,35.43899255,1.699966206,1.634290164,37.44652778,186.1011924,164.3051425
6/26/2019,177412,23.93333333,12397.91,5.67879576,131.4751373,120.6585987,105.5691264,766.7342889,825.8054238,36.14792674,1.699938115,1.60801178,36.55555556,183.998129,181.3069934
6/27/2019,177068,24,12517.32,5.720497263,134.3743752,117.7024269,103.6800915,773.0069307,819.8321039,36.53795232,1.699892873,1.659310796,37.38819444,184.5554982,181.6970259
6/28/2019,180792,23.85,12339.25,5.629460535,137.0173429,117.730246,103.8169777,773.7497775,816.9092952,34.70381794,1.699803878,1.662110517,36.76736111,184.0969128,182.9793502
6/29/2019,180272,23.95,12611.87,5.756420875,135.6832892,116.8739767,102.9192451,785.1920471,825.9810858,35.07054382,1.699817975,1.680031843,37.64861111,185.0395523,200.6359198
