Date,Moisture_600,Blaine_After_HPGR,Tfe_Before_Mixer,FeO_Before_Mixer,Online_hours,Grate_Feed(ton),Grate_Speed(rpm),Depth(mm),EP1_Temp(deg),EP2_Temp(deg),Grate_Zoon3_Temp(deg),Grate_Zoon4_Temp(deg),Amb_Temp(deg),KL1_Speed(rpm),AN1_Speed(rpm),730FN1_Damper,730FN1_Amp,AN1_Zoon3_Temp(deg),Gas_Consumption(Nm3)
4/17/2019,8.868055556,2096.25,67.01666667,21.97666667,23.96666667,12796.92,6.076085108,122.5130324,109.8202872,102.060801,831.6191339,887.0917372,23.32306701,1.720934469,1.650855671,33.13819444,181.8378108,185.7798897,197204
4/18/2019,9.005882353,2104.583333,66.94333333,22.08333333,24,13220.98,6.04553092,124.6243449,107.962714,101.2373003,851.8271142,872.0419282,25.31778781,1.720823254,1.736907858,33.02430556,179.215002,189.2622101,197644
4/19/2019,8.9375,2077.916667,66.54333333,20.55666667,23.2,11888.48,5.473680026,128.3865425,114.0331441,101.4987636,810.815684,897.951432,21.04574894,1.715461588,1.55241815,30.42569444,173.9880557,189.2622101,201184
4/20/2019,8.922222222,2078.5,66.68,21.36,23.96666667,13276.64,5.955951337,127.8950503,103.5199227,97.37561051,857.7918028,910.678398,24.19026541,1.720816936,1.71155808,32.88333333,180.0350976,194.910205,209396
4/21/2019,9.011111111,2036.083333,67.22333333,22.97333333,24,13148.7,5.971356333,130.5494568,110.6160291,99.46586128,851.4470393,883.8883386,23.09830652,1.720417525,1.725394223,32.64236111,180.3832226,194.910205,199540
4/22/2019,9.013235294,2125.583333,67.11,22.58666667,24,12980.1,5.935503512,130.8429399,113.7745574,103.0161012,849.8028925,891.4548778,22.15632356,1.720373393,1.692252038,32.48402778,180.413118,184.3699031,197872
4/23/2019,8.888888889,2189.333333,67.05333333,22.28333333,24,12560.48,5.598029695,135.0843876,112.1327537,98.93443423,823.3552938,900.8203891,21.67121101,1.719209121,1.652071618,31.37361111,176.8736361,187.2416564,201212
4/24/2019,8.813888889,2118.777778,67.03,23.25666667,24,13287.91,5.936518491,140.6513512,111.5533658,95.46835028,851.1421755,926.4544924,17.10387604,1.740082733,1.726112896,32.96180556,184.0800397,153.5836183,208724
4/25/2019,8.948611111,2185.454545,67.10333333,22.20666667,24,12772.16,5.896229417,136.9601819,113.44962,100.1785531,843.7133727,894.1566127,16.3502808,1.740233183,1.66555503,32.27777778,184.671263,156.5300984,198544
4/26/2019,8.865277778,2164.333333,66.98333333,21.60666667,23.95,12805.53,5.871857219,137.5713265,104.7169835,97.61516726,841.3322263,921.4334733,19.62196751,1.740104818,1.655011412,32.72847222,185.0576542,159.1030187,207840
4/27/2019,8.795833333,2288.666667,67.06,21.14,24,13045.21,5.899050944,140.3245249,109.3369259,97.62444072,859.2526766,925.1901213,20.10819125,1.740008915,1.702158063,32.96666667,184.7329765,168.5406123,215768
4/28/2019,8.775,2191.416667,67.21666667,21.82,24,13087.62,5.860122246,139.0923276,105.1024868,99.38001321,847.2152528,906.9422207,22.33622258,1.74004197,1.718685188,33.04791667,183.2959033,170.8247929,211256
4/29/2019,8.810294118,2163.363636,67.05666667,21.94,24,13029.89,5.841397369,136.8379339,120.4654097,101.7378977,844.0769188,895.4552524,20.90767321,1.727726899,1.725443279,33.49791667,184.4381438,166.1881904,200304
4/30/2019,8.818055556,2160.5,67.20666667,21.45666667,24,12377.88,5.558495147,137.0961087,118.8285842,103.8572298,801.3111566,885.5316729,24.33020024,1.695556865,1.613972151,32.05069444,180.8375097,164.4649119,197892
5/1/2019,8.822222222,2162.416667,67.24666667,21.84666667,24,12600.77,5.846559624,132.3466542,121.2355515,103.1566054,827.0823231,878.585021,23.06176085,1.699979366,1.671101443,33.27916667,183.3194659,160.1423595,194684
5/2/2019,8.773611111,2122.818182,67.415,22.25,24,12705.83,5.85520861,133.9333155,114.0918435,98.88524278,793.1334412,851.4226138,23.46347432,1.700028776,1.691129984,33.1875,182.2390891,164.0757325,182616
5/3/2019,8.9375,2178.166667,67.43333333,22.3,23.9,12471.88,5.666540138,132.945408,115.9893442,100.7742462,778.7025512,862.1907006,24.28322648,1.700028811,1.61855381,32.56388889,180.0185673,182.9866779,179300
5/4/2019,8.944444444,2172.083333,67.49333333,22.65666667,24,12775.66,5.849067574,131.7578046,112.2898548,100.6899972,799.5608714,887.7869142,26.05225671,1.700993741,1.649336645,32.71111111,179.6991137,180.4871074,186300
5/5/2019,8.901639344,2215.777778,67.1,22.06,24,12545.74,5.815562676,129.9185689,111.9087451,99.90498716,778.0022879,877.0219439,25.00739589,1.717988427,1.642035999,33.13611111,180.4348458,177.5058756,181056
5/6/2019,8.826760563,2206.090909,66.83666667,23.06666667,24,10817.52,5.191708323,121.8278403,125.2027226,103.6694768,712.6500712,851.3485562,26.95100483,1.660270337,1.447000187,29.20694444,170.4348492,147.5498356,174592
5/7/2019,8.822857143,2197.1,66.95,23.09333333,23.61666667,12114.67,5.490737525,137.4136535,117.1483751,105.0249455,798.5532036,878.8964687,26.27938793,1.699988567,1.613628901,32.60416667,179.7195918,186.7673601,185676
5/8/2019,8.808450704,2169.222222,67.06333333,22.86,23.23333333,11764.26,5.31669515,139.4259999,115.9015921,104.1005346,770.3614992,863.0085044,28.11428042,1.70013235,1.592156705,31.95555556,177.5742754,161.7659299,175264
5/9/2019,8.984722222,2131.636364,67.08333333,23.13666667,23.5,12107.3,5.502478721,137.4613595,117.5333539,101.7960728,775.6906744,876.6983595,27.68540699,1.699983533,1.630510199,33.20763889,180.049813,172.7333733,178080
5/10/2019,8.784722222,2197.833333,66.82,22.94333333,24,12691.75,5.75872066,138.47134,113.5731355,99.00545859,798.6084788,873.8651385,28.38943357,1.699882769,1.719123624,33.2625,179.8067814,190.9756395,177312
5/11/2019,8.7875,2167.833333,66.76333333,24,24,12432.42,5.758205612,135.9913988,113.3559137,99.5684653,785.6804126,868.2235228,24.50967988,1.69380162,1.680025088,32.69861111,178.7754729,178.410471,178524
5/12/2019,8.994202899,2130.4,66.95333333,22.23666667,23.95,12103.18,5.681777558,130.3079247,123.6593424,101.696307,774.1401658,865.5173509,27.62327345,1.698423775,1.646642039,32.25069444,176.9814767,178.2471516,174424
5/13/2019,8.947222222,2125.5,66.69,23.49,24,11159.89,5.43156709,129.5844907,121.5818805,104.0390694,732.2952741,852.9695067,29.3281359,1.680002908,1.516151115,32.09583333,176.5245674,149.4554967,170580
