Date,Time,Blaine_After_HPGR
4/11/2019,21:05,2119
4/11/2019,23:05,2095
4/12/2019,1:05,2119
4/12/2019,3:05,2190
4/12/2019,5:05,2071
4/12/2019,7:05,2190
4/12/2019,9:05,2095
4/12/2019,11:05,2167
4/12/2019,13:05,2095
4/12/2019,15:05,2046
4/12/2019,17:05,2071
4/12/2019,19:05,1995
4/12/2019,21:05,2095
4/12/2019,23:05,2095
4/13/2019,1:05,2143
4/13/2019,3:05,2167
4/13/2019,5:05,2095
4/13/2019,7:05,2119
4/13/2019,11:05,2095
4/13/2019,13:05,2071
4/13/2019,15:05,2071
4/13/2019,17:05,2095
4/13/2019,19:05,2071
4/13/2019,21:05,2143
4/13/2019,23:05,2190
4/14/2019,1:05,2143
4/14/2019,3:05,1943
4/14/2019,5:05,2119
4/14/2019,7:05,2021
4/14/2019,9:05,2046
4/14/2019,11:05,2095
4/14/2019,13:05,2143
4/14/2019,15:05,2095
4/14/2019,17:05,2095
4/14/2019,19:05,2095
4/14/2019,21:05,2119
4/14/2019,23:05,1970
4/15/2019,1:05,2143
4/15/2019,3:05,2095
4/15/2019,5:05,2119
4/15/2019,7:05,2095
4/15/2019,13:05,2237
4/15/2019,15:05,2259
4/15/2019,17:05,2190
4/15/2019,19:05,2214
4/15/2019,21:05,2119
4/15/2019,23:05,2167
4/16/2019,1:05,2119
4/16/2019,3:05,2119
4/16/2019,5:05,2190
4/16/2019,7:05,2167
4/16/2019,9:05,2071
4/16/2019,11:05,2119
4/16/2019,13:05,2021
4/16/2019,15:05,2095
4/16/2019,17:05,2071
4/16/2019,19:05,2095
4/16/2019,21:05,2190
4/16/2019,23:05,2237
4/17/2019,1:05,2214
4/17/2019,3:05,2190
4/17/2019,5:05,2214
4/17/2019,7:05,2190
4/17/2019,9:05,2119
4/17/2019,11:05,2071
4/17/2019,13:05,2071
4/17/2019,15:05,2021
4/17/2019,17:05,2046
4/17/2019,19:05,2046
4/17/2019,21:05,2237
4/17/2019,23:05,2095
4/18/2019,1:05,2021
4/18/2019,3:05,2143
4/18/2019,5:05,2095
4/18/2019,7:05,2095
4/18/2019,9:05,2071
4/18/2019,11:05,2071
4/18/2019,13:05,2095
4/18/2019,15:05,2095
4/18/2019,17:05,2143
4/18/2019,19:05,2143
4/18/2019,21:05,2046
4/18/2019,23:05,2214
4/19/2019,1:05,2190
4/19/2019,3:05,2071
4/19/2019,5:05,2021
4/19/2019,7:05,2046
4/19/2019,9:05,2071
4/19/2019,11:05,2095
4/19/2019,13:05,2119
4/19/2019,15:05,2119
4/19/2019,17:05,2167
4/19/2019,19:05,2119
4/19/2019,21:05,2071
4/19/2019,23:05,2119
4/20/2019,1:05,2046
4/20/2019,3:05,2046
4/20/2019,5:05,1917
4/20/2019,7:05,2071
4/20/2019,9:05,2071
4/20/2019,11:05,1995
4/20/2019,13:05,2071
4/20/2019,15:05,2046
4/20/2019,17:05,2143
4/20/2019,19:05,2071
4/20/2019,21:05,2143
4/20/2019,23:05,2071
4/21/2019,1:05,2119
4/21/2019,3:05,2095
4/21/2019,5:05,2046
4/21/2019,7:05,2071
4/21/2019,9:05,2095
4/21/2019,11:05,2095
4/21/2019,13:05,2046
4/21/2019,15:05,1943
4/21/2019,17:05,2167
4/21/2019,19:05,2119
4/21/2019,21:05,1943
4/21/2019,23:05,1890
4/22/2019,1:05,1779
4/22/2019,3:05,2071
4/22/2019,5:05,2214
4/22/2019,7:10,2190
4/22/2019,9:05,2190
4/22/2019,11:05,2143
4/22/2019,13:05,2095
4/22/2019,15:05,2021
4/22/2019,17:05,2071
4/22/2019,19:05,2095
4/22/2019,21:05,1970
4/22/2019,23:05,2214
4/23/2019,1:05,2143
4/23/2019,3:05,2304
4/23/2019,5:05,2071
4/23/2019,7:05,2214
4/23/2019,9:05,2237
4/23/2019,11:05,2237
4/23/2019,13:05,2259
4/23/2019,15:05,2190
4/23/2019,17:05,2143
4/23/2019,19:05,2190
4/23/2019,21:05,1970
4/23/2019,23:05,2214
4/24/2019,1:05,2190
4/24/2019,3:05,2214
4/24/2019,5:05,2214
4/24/2019,7:05,2190
4/24/2019,11:05,2119
4/24/2019,13:05,2190
4/24/2019,15:05,2095
4/24/2019,17:05,2095
4/24/2019,19:05,2095
4/24/2019,23:05,2095
4/25/2019,1:05,2071
4/25/2019,3:05,2119
4/25/2019,7:05,2190
4/25/2019,9:05,2190
4/25/2019,13:05,2190
4/25/2019,15:05,2214
4/25/2019,17:05,2214
4/25/2019,19:05,2237
4/25/2019,21:05,2237
4/25/2019,23:05,2143
4/26/2019,1:05,2167
4/26/2019,3:05,2237
4/26/2019,5:05,2021
4/26/2019,7:05,1970
4/26/2019,9:05,1995
4/26/2019,11:05,2071
4/26/2019,13:05,2259
4/26/2019,15:05,2326
4/26/2019,17:05,2282
4/26/2019,19:05,2214
4/26/2019,21:05,2237
4/26/2019,23:05,2190
4/27/2019,1:05,2143
4/27/2019,3:05,2214
4/27/2019,5:05,2071
4/27/2019,7:05,2259
4/27/2019,9:05,2326
4/27/2019,11:05,2259
4/27/2019,13:05,2348
4/27/2019,15:05,2259
4/27/2019,17:05,2326
4/27/2019,19:05,2348
4/27/2019,21:05,2237
4/27/2019,23:05,2259
4/28/2019,1:05,2214
4/28/2019,3:05,2370
4/28/2019,5:05,2259
4/28/2019,7:05,2237
4/28/2019,9:05,2190
4/28/2019,11:05,2259
4/28/2019,13:05,2071
4/28/2019,15:05,2282
4/28/2019,17:05,2021
4/28/2019,19:05,2167
4/28/2019,21:05,2214
4/28/2019,23:05,2214
4/29/2019,1:05,2214
4/29/2019,3:05,2214
4/29/2019,5:05,2214
4/29/2019,7:05,2190
4/29/2019,9:05,2190
4/29/2019,13:05,2095
4/29/2019,15:05,2143
4/29/2019,17:05,2021
4/29/2019,19:05,2119
4/29/2019,21:05,2304
4/29/2019,23:05,2214
4/30/2019,1:05,2143
4/30/2019,3:05,2119
4/30/2019,5:05,2259
4/30/2019,7:05,2237
4/30/2019,9:05,2237
4/30/2019,11:05,2095
4/30/2019,13:05,2143
4/30/2019,15:05,2143
4/30/2019,17:05,2167
4/30/2019,19:05,2167
4/30/2019,21:05,2167
4/30/2019,23:05,2214
5/1/2019,1:05,2095
5/1/2019,3:05,2071
5/1/2019,5:05,2190
5/1/2019,7:05,2119
5/1/2019,9:05,2143
5/1/2019,11:05,2119
5/1/2019,13:05,2214
5/1/2019,15:05,2259
5/1/2019,17:05,2119
5/1/2019,19:05,2190
5/1/2019,21:05,2190
5/1/2019,23:05,2143
5/2/2019,1:15,2167
5/2/2019,3:05,2143
5/2/2019,5:05,2143
5/2/2019,7:05,2167
5/2/2019,9:05,2214
5/2/2019,11:05,2167
5/2/2019,13:05,1995
5/2/2019,15:05,2095
5/2/2019,17:05,2119
5/2/2019,19:05,2143
5/2/2019,21:05,2143
5/3/2019,1:05,2046
5/3/2019,3:05,2143
5/3/2019,5:05,2119
5/3/2019,7:05,2214
5/3/2019,9:05,2046
5/3/2019,11:05,2190
5/3/2019,13:05,2190
5/3/2019,15:05,2167
5/3/2019,17:05,2167
5/3/2019,19:05,2190
5/3/2019,21:05,2190
5/3/2019,23:05,2190
5/4/2019,1:05,2190
5/4/2019,3:05,2190
5/4/2019,5:05,2214
5/4/2019,7:05,2282
5/4/2019,9:05,2259
5/4/2019,11:05,2119
5/4/2019,13:05,2167
5/4/2019,15:05,2046
5/4/2019,17:05,2214
5/4/2019,19:05,2071
5/4/2019,21:05,1943
5/4/2019,23:05,2282
5/5/2019,1:05,2237
5/5/2019,3:05,2119
5/5/2019,5:05,2326
5/5/2019,7:05,2190
5/5/2019,13:05,2237
5/5/2019,17:05,2282
5/5/2019,19:15,2259
5/5/2019,21:05,2214
5/5/2019,23:05,2214
5/6/2019,1:05,2119
5/6/2019,3:05,2237
5/6/2019,5:05,2190
5/6/2019,7:05,2167
5/6/2019,11:05,2190
5/6/2019,13:05,2095
5/6/2019,15:30,2046
5/6/2019,17:05,2304
5/6/2019,19:05,2259
5/6/2019,21:10,2259
5/6/2019,23:05,2259
5/7/2019,1:05,2237
5/7/2019,3:05,2237
5/7/2019,5:05,2214
5/7/2019,7:05,2259
5/7/2019,9:05,2214
5/7/2019,11:05,2167
5/7/2019,13:05,2190
5/7/2019,15:05,2143
5/7/2019,17:05,2237
5/7/2019,19:05,2167
5/7/2019,21:05,2214
5/7/2019,23:05,2143
5/8/2019,5:05,2237
5/8/2019,7:05,2119
5/8/2019,11:05,2167
5/8/2019,13:05,2143
5/8/2019,17:05,2143
5/8/2019,19:05,2143
5/8/2019,21:05,2237
5/9/2019,1:05,2167
5/9/2019,3:05,2190
5/9/2019,5:05,2214
5/9/2019,7:05,2119
5/9/2019,11:05,2119
5/9/2019,13:05,2167
5/9/2019,15:05,2095
5/9/2019,17:05,2095
5/9/2019,19:05,2119
5/9/2019,21:05,2237
5/9/2019,23:05,2021
5/10/2019,1:05,2143
5/10/2019,3:05,2143
5/10/2019,5:05,2190
5/10/2019,7:05,2190
5/10/2019,9:05,2237
5/10/2019,11:15,2167
5/10/2019,13:05,2167
5/10/2019,15:05,2167
5/10/2019,17:05,2190
5/10/2019,19:05,2190
5/10/2019,21:05,2259
5/10/2019,23:05,2143
5/11/2019,1:05,2190
5/11/2019,3:05,2237
